region,total,Urban population,Rural population,National employment numbers,Illiterate rural areas,Illiterate city areas,Primary school and rural areas,Primary school and city areas,Middle school rural areas,Middle school city areas,High school rural areas,High school city areas,College rural areas,College city areas,Undergraduate or above in rural areas,Undergraduate or above in city areas
国家,65631786,221320851,186650198,65631786,411561605,484961166,178236849,92077817,200352437,169796464,43691594,115378689,15375761,72771281,23521598,78829988
北京,1015007,7439664,1102358,1015007,2441429,15598745,460872,1660716,1150281,3485800,463975,3135889,253462,2492465,433554,5842588
天津,504665,4376812,796079,504665,1800706,9496411,606614,1455412,1001016,3140894,195021,2154417,82528,1384464,140694,2074997
河北,3332630,8007995,10694409,3332630,23549290,18141315,9622665,3475010,14129415,6640647,2157753,4631479,649425,3019961,967807,2573474
山西,1452063,4981821,5233277,1452063,11239368,10980558,3485429,1795519,6259768,3992970,1416135,2741921,597072,1799176,912108,1878452
内蒙古,1049550,3836659,3340824,1049550,6921409,8088402,2834375,1417561,3039062,2787736,640221,1813584,300728,1376713,489111,1338258
辽宁,1799414,11263547,4693537,1799414,10677176,22636901,3961851,3120335,6109418,9552557,659459,4867158,329807,3075020,496455,3566688
吉林,1008886,4381757,3581973,1008886,8014942,9076229,3274743,1313922,3992612,3457142,687316,2528875,254521,1097458,524100,1348934
黑龙江,1283401,6282686,4596736,1283401,9869937,12972534,3760049,1958197,5216199,5465155,859528,3020221,311261,1553571,523479,1766192
上海,1264922,8165874,1300154,1264922,2511805,17830143,608539,2007803,1240252,5142461,341937,4005526,141024,2679750,259247,4884424
江苏,4062749,15073781,8791054,4062749,19360958,34296686,7453824,6626887,8762409,11492455,2504512,7561970,952499,5457423,1373972,5871392
浙江,3642236,13813994,7515927,3642236,15816089,28502988,6585579,6863089,6226723,10113514,1923944,5334120,790654,3681568,1186145,4325407
安徽,2766699,6125474,9774721,2766699,20311793,13570784,8797085,2921905,9294816,4761119,2149597,2931797,773338,2078602,1212323,2021967
福建,2052886,6519000,4765772,2052886,10531343,13981478,4898298,3437469,4455848,5016358,1190727,3077986,414075,1816636,674823,2106127
江西,2260971,4414818,6092205,2260971,13753991,10919192,6434528,2528303,7002094,4065527,1633777,2832718,497483,1557550,736881,1450515
山东,4764872,14217381,14268466,4764872,30823840,32196787,12118842,6234929,15866245,11518959,3056004,7829789,936496,5048861,1404171,4900453
河南,4225042,8770708,15427689,4225042,33026312,20876182,14197149,3912318,19187848,7234281,3620810,5921384,1059828,3676418,1522779,2973774
湖北,3046668,8973972,7892458,3046668,17856575,20987337,7189194,3622705,8618210,6885199,2213653,5664188,657376,3245299,972525,3414693
湖南,3041080,6765698,10125251,3041080,21799567,15616288,9082079,2941164,11208821,5191264,3162346,4549768,757056,2493822,1078215,2295040
广东,6203762,30821964,10340668,6203762,24989626,64062941,9716918,12064444,13387895,24947323,3646184,16555876,1084984,8692979,1568949,7831169
广西,2013956,5129446,7828136,2013956,17095448,11846881,8271828,2500416,9189509,4406791,1537274,3067144,507242,1807571,784249,1602208
海南,422630,1290895,1208978,422630,3183947,3052800,969918,552216,1919629,1148895,394440,822663,154399,437934,250328,455130
重庆,1526217,6083611,4284300,1526217,8279466,13897292,4470885,3188403,3200205,4591718,845381,3324611,257431,2044702,401547,1967046
四川,4552395,11605081,14241286,4552395,30210159,26132846,15155574,5910422,12097976,8465668,2685875,5815814,962264,3989278,1438323,3879516
贵州,1480345,3522330,6312291,1480345,13493520,8096873,7216966,2035430,5544225,2964729,929770,1666983,405437,1108359,664095,1214888
云南,2519755,4761268,7341822,2519755,18551015,10412239,10832008,2467562,7027769,3408361,1216118,2162451,565429,1499858,893265,1638103
西藏,117903,328955,574805,117903,1675571,716566,828065,213755,331137,166471,83474,139664,64826,81925,127594,97051
陕西,1606941,6139042,5474257,1606941,12302481,13069795,4378935,2074180,6191504,4017311,1439060,3195177,589189,2450714,908776,2625208
甘肃,959370,2731953,3996427,959370,9619562,5910746,4726417,1145424,3374333,1839813,872704,1453565,404197,992444,623587,1000440
青海,226183,837123,726244,226183,1782002,1789491,1037478,423099,552400,560095,104937,345708,66999,281655,103942,293676
宁夏,314750,1155063,894047,314750,1983475,2440305,969574,497759,765002,841008,184203,525966,99083,395997,60605,422497
新疆,1113838,3502479,3434047,1113838,8088803,7763431,4290568,1711463,4009816,2494243,875459,1700277,455648,1453108,687949,1169681
